accession	name in vcf	include in map	include in network	include in admixture	admixture_expanded	big_admix?	selection scan pop	admix pop	network color	population	population	latitude	longitude	ploidy_man_curated	nquire ploidy	proportion_het%_to_NT1	Number_S_haplogroups	Species_fin	source	source_type	snps (2n)	collector, comments	admix	twisst Siberia	selection_test	est-sfs	demographic modeling pops	file to upload	ENA accession				
NT17.1-5	NT17.1-5	yes	yes	no	no	yes	CESiberia_2n	NT17	orange	ES_2n	East_Siberia_2n	71.31612	129.44675	2	2	0,40	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT17.1-5_1.fq.gz	ERS18382897				
NT17.4-1	NT17.4-1	yes	yes	yes	yes	yes	CESiberia_2n	NT17	orange	ES_2n	East_Siberia_2n	71.31612	129.44675	2	3	0,42	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT17.4-1_1.fq.gz	ERS18382898				
NT17.4-2	NT17.4-2	yes	yes	no	no	yes	CESiberia_2n	NT17	orange	ES_2n	East_Siberia_2n	71.31612	129.44675	2	2	0,36	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT17.4-2_1.fq.gz	ERS18382899				
NT17.4-3	NT17.4-3	yes	yes	no	no	yes	CESiberia_2n	NT17	orange	ES_2n	East_Siberia_2n	71.31612	129.44675	2	3	0,30	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT17.4-3_1.fq.gz	ERS18382900				
NT17.4-4	NT17.4-4	yes	yes	no	no	yes	CESiberia_2n	NT17	orange	ES_2n	East_Siberia_2n	71.31612	129.44675	2	2	0,33	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT17.4-4_1.fq.gz	ERS18382901				
NT17.5-1	NT17.5-1	yes	yes	yes	yes	yes	CESiberia_2n	NT17	orange	ES_2n	East_Siberia_2n	71.31612	129.44675	2	2	0,37	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT17.5-1_1.fq.gz	ERS18382902				
NT18-1	NT18-1	yes	yes	yes	yes	yes	CESiberia_2n	NT18	orange	ES_2n	East_Siberia_2n	71.50507	129.28337	2	2	0,38	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT18-1_1.fq.gz	ERS18382903				
NT18-2	NT18-2	yes	yes	no	no	yes	CESiberia_2n	NT18	orange	ES_2n	East_Siberia_2n	71.50507	129.28337	2	2	0,36	1	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT18-2_1.fq.gz	ERS18382904				
NT18-3	NT18-3	yes	yes	yes	yes	yes	CESiberia_2n	NT18	orange	ES_2n	East_Siberia_2n	71.50507	129.28337	2	2	0,37	1	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT18-3_1.fq.gz	ERS18382905				
NT18-4	NT18-4	yes	yes	no	no	yes	CESiberia_2n	NT18	orange	ES_2n	East_Siberia_2n	71.50507	129.28337	2	2	0,38	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT18-4_1.fq.gz	ERS18382906				
NT18-6	NT18-6	yes	yes	yes	yes	yes	CESiberia_2n	NT18	orange	ES_2n	East_Siberia_2n	71.50507	129.28337	2	2	0,35	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT18-6_1.fq.gz	ERS18382907				
NT19.1-1	NT19.1-1	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	ES_2n	East_Siberia_2n	72.35875	127.65138	2	2	0,37	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT19.1-1_1.fq.gz	ERS18382908				
NT19.1-2	NT19.1-2	yes	yes	yes	yes	yes	CESiberia_2n	NT19	orange	ES_2n	East_Siberia_2n	72.35875	127.65138	2	2	0,40	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT19.1-2_1.fq.gz	ERS18382909				
NT19.1-3	NT19.1-3	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	ES_2n	East_Siberia_2n	72.35875	127.65138	2	2	0,37	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT19.1-3_1.fq.gz	ERS18382910				
NT19.1-4	NT19.1-4	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	ES_2n	East_Siberia_2n	72.35875	127.65138	2	2	0,38	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT19.1-4_1.fq.gz	ERS18382911				
NT19.1-5	NT19.1-5	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	ES_2n	East_Siberia_2n	72.35875	127.65138	2	2	0,38	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT19.1-5_1.fq.gz	ERS18382912				
NT19.1-6	NT19.1-6	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	ES_2n	East_Siberia_2n	72.35875	127.65138	2	2	0,40	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT19.1-6_1.fq.gz	ERS18382913				
NT19.2-1	NT19.2-1	yes	yes	yes	yes	yes	CESiberia_2n	NT19	orange	ES_2n	East_Siberia_2n	72.35875	127.65138	2	2	0,38	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT19.2-1_1.fq.gz	ERS18382914				
NT19.2-2	NT19.2-2	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	ES_2n	East_Siberia_2n	72.35875	127.65138	2	2	0,35	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT19.2-2_1.fq.gz	ERS18382915				
NT19.3-1	NT19.3-1	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	ES_2n	East_Siberia_2n	72.35875	127.65138	2	2	0,33	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT19.3-1_1.fq.gz	ERS18382916				
NT19.3-2	NT19.3-2	yes	yes	yes	yes	yes	CESiberia_2n	NT19	orange	ES_2n	East_Siberia_2n	72.35875	127.65138	2	2	0,36	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT19.3-2_1.fq.gz	ERS18382917				
NT19.3-3	NT19.3-3	yes	yes	no	no	yes	CESiberia_2n	NT19	orange	ES_2n	East_Siberia_2n	72.35875	127.65138	2	2	0,37	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT19.3-3_1.fq.gz	ERS18382918				
NT2_1_1	NT2_1_1	yes	yes	yes	yes	yes	CESiberia_2n	NT2	orange	ES_2n	East_Siberia_2n	71.99619	129.12575	2	2	0,33	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/D1_NT2_1_1_FDSW202525722-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382919				
NT2_2_1	NT2_2_1	yes	yes	yes	yes	yes	CESiberia_2n	NT2	orange	ES_2n	East_Siberia_2n	71.99619	129.12575	2	2	0,29	1	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/E1_NT2_2_1_FDSW202525723-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382920				
NT2_3_1	NT2_3_1	yes	yes	no	no	yes	CESiberia_2n	NT2	orange	ES_2n	East_Siberia_2n	71.99619	129.12575	2	2	0,31	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/F1_NT2_3_1_FDSW202525724-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382921				
NT2_4_1	NT2_4_1	yes	yes	no	no	yes	CESiberia_2n	NT2	orange	ES_2n	East_Siberia_2n	71.99619	129.12575	2	2	0,32	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n			CED	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/NT2_4_1.fq.gz	ERS18382922				
NT2_5_1	NT2_5_1	yes	yes	yes	yes	yes	CESiberia_2n	NT2	orange	ES_2n	East_Siberia_2n	71.99619	129.12575	2	2	0,32	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/H1_NT2_5_1_FDSW202525726-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382923				
NT20.1-1	NT20.1-1	yes	yes	no	no	yes	CESiberia_2n	NT20	orange	ES_2n	East_Siberia_2n	73.37268	126.45977	2	2	0,35	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT20.1-1_1.fq.gz	ERS18382924				
NT20.3-1	NT20.3-1	yes	yes	no	no	yes	CESiberia_2n	NT20	orange	ES_2n	East_Siberia_2n	73.37268	126.45977	2	2	0,37	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT20.3-1_1.fq.gz	ERS18382925				
NT20.3-2	NT20.3-2	yes	yes	yes	yes	yes	CESiberia_2n	NT20	orange	ES_2n	East_Siberia_2n	73.37268	126.45977	2	2	0,34	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT20.3-2_1.fq.gz	ERS18382926				
NT20.3-3	NT20.3-3	yes	yes	no	no	yes	CESiberia_2n	NT20	orange	ES_2n	East_Siberia_2n	73.37268	126.45977	2	2	0,35	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT20.3-3_1.fq.gz	ERS18382927				
NT20.4-1	NT20.4-1	yes	yes	no	no	yes	CESiberia_2n	NT20	orange	ES_2n	East_Siberia_2n	73.37268	126.45977	2	3	0,35	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT20.4-1_1.fq.gz	ERS18382928				
NT20.4-2	NT20.4-2	yes	yes	no	no	yes	CESiberia_2n	NT20	orange	ES_2n	East_Siberia_2n	73.37268	126.45977	2	2	0,29	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT20.4-2_1.fq.gz	ERS18382929				
NT20.4-3	NT20.4-3	yes	yes	yes	yes	yes	CESiberia_2n	NT20	orange	ES_2n	East_Siberia_2n	73.37268	126.45977	2	2	0,36	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT20.4-3_1.fq.gz	ERS18382930				
NT20.6-2	NT20.6-2	yes	yes	yes	yes	yes	CESiberia_2n	NT20	orange	ES_2n	East_Siberia_2n	73.37268	126.45977	2	2	0,37	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT20.6-2_1.fq.gz	ERS18382931				
NT20.6-3	NT20.6-3	yes	yes	no	no	yes	CESiberia_2n	NT20	orange	ES_2n	East_Siberia_2n	73.37268	126.45977	2	2	0,36	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT20.6-3_1.fq.gz	ERS18382932				
NT4_2_1	NT4_2_1	yes	yes	yes	yes	yes	CESiberia_2n	NT4	orange	ES_2n	East_Siberia_2n	71.06107	127.56112	2	2	0,31	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/A2_NT4_2_1_FDSW202525727-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382933				
NT4_3_1	NT4_3_1	yes	yes	yes	yes	yes	CESiberia_2n	NT4	orange	ES_2n	East_Siberia_2n	71.06107	127.56112	2	2	0,32	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/B2_NT4_3_1_FDSW202525728-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382934				
NT4.1	NT4.1	yes	yes	yes	yes	yes	CESiberia_2n	NT4	orange	ES_2n	East_Siberia_2n	71.06107	127.56112	2	2	0,37	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT4.1_1.fq.gz	ERS18382935				
NT5_1_1	NT5_1_1	yes	yes	yes	yes	yes	CESiberia_2n	NT5	orange	ES_2n	East_Siberia_2n	71.9924	127.01465	2	2	0,31	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/C2_NT5_1_1_FDSW202525729-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382936				
NT5_2_1	NT5_2_1	yes	yes	yes	yes	yes	CESiberia_2n	NT5	orange	ES_2n	East_Siberia_2n	71.9924	127.01465	2	2	0,33	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/D2_NT5_2_1_FDSW202525730-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382937				
NT5_3_1	NT5_3_1	yes	yes	yes	yes	yes	CESiberia_2n	NT5	orange	ES_2n	East_Siberia_2n	71.9924	127.01465	2	2	0,31	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/E2_NT5_3_1_FDSW202525731-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382938				
NT8_1_1	NT8_1_1	yes	yes	yes	yes	yes	CESiberia_2n	NT8	orange	ES_2n	East_Siberia_2n	66.70192	123.30781	2	2	0,29	2	A. lyrata	Kolesnikova et al. 2023	published	cohort1	Nikita Tikhomirov	y	CESiberia_2n				published	ERS10113954				
NT8_2_1	NT8_2_1	yes	yes	yes	yes	yes	CESiberia_2n	NT8	orange	ES_2n	East_Siberia_2n	66.70192	123.30781	2	2	0,29	2	A. lyrata	Kolesnikova et al. 2023	published	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip			published	ERS10113955				
NT8_3_1	NT8_3_1	yes	yes	yes	yes	yes	CESiberia_2n	NT8	orange	ES_2n	East_Siberia_2n	66.70192	123.30781	2	2	0,27	2	A. lyrata	Kolesnikova et al. 2023	published	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip			published	ERS10113956				
NT8_4_1	NT8_4_1	yes	yes	no	no	yes	CESiberia_2n	NT11	orange	ES_2n	East_Siberia_2n	66.70192	123.30781	2	2	0,28	2	A. lyrata	Kolesnikova et al. 2023	publisched	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip			published	ERS10113959				
NT8_5_1	NT8_5_1	yes	yes	no	no	yes	CESiberia_2n	NT10	orange	ES_2n	East_Siberia_2n	66.70192	123.30781	2	2	0,28	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip			/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/NT8_5_1.fq.gz	ERS18382939				
NT8.3-4	NT8.3-4	yes	yes	no	no	yes	CESiberia_2n	NT9	orange	ES_2n	East_Siberia_2n	66.70192	123.30781	2	2	0,31	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n				/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT8.3-4_1.fq.gz	ERS18382940				
NT8.4-5	NT8.4-5	yes	yes	no	no	yes	CESiberia_2n	NT8	orange	ES_2n	East_Siberia_2n	66.70192	123.30781	2	2	0,35	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n				/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT8.4-5_1.fq.gz	ERS18382941				
NT9_1_1	NT9_1_1	yes	yes	yes	yes	yes	CESiberia_2n	NT9	orange	ES_2n	East_Siberia_2n	71.62518	128.86804	2	2	0,35	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/C3_NT9_1_1_FSFP202525737-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382942				
NT9_2_1	NT9_2_1	yes	yes	yes	yes	yes	CESiberia_2n	NT9	orange	ES_2n	East_Siberia_2n	71.62518	128.86804	2	2	0,32	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/D3_NT9_2_1_FDSW202525738-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382943				
NT9_3_1	NT9_3_1	yes	yes	no	no	yes	CESiberia_2n	NT9	orange	ES_2n	East_Siberia_2n	71.62518	128.86804	2	2	0,32	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/E3_NT9_3_1_FDSW202525739-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382944				
NT9_4_1	NT9_4_1	yes	yes	yes	yes	yes	CESiberia_2n	NT9	orange	ES_2n	East_Siberia_2n	71.62518	128.86804	2	2	0,32	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/F3_NT9_4_1_FDSW202525740-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382945				
NT9_5_1	NT9_5_1	yes	yes	no	no	yes	CESiberia_2n	NT9	orange	ES_2n	East_Siberia_2n	71.62518	128.86804	2	2	0,33	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/G3_NT9_5_1_FDSW202525741-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382946				
PU_1mix-1	PU_1mix-1_4n	yes	yes	yes	yes	yes	PUWS_4n	PU1	pink	EE_4n	Northern_Ural_4n	66.90776	65.69919	4	4	0,63	3	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_1mix-1_1.fq.gz	ERS18382947				
PU_1mix-2	PU_1mix-2_4n	yes	yes	yes	yes	yes	PUWS_4n	PU1	pink	EE_4n	Northern_Ural_4n	66.90776	65.69919	4	4	0,70	2	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_1mix-2_1.fq.gz	ERS18382948				
PU_2mix-1	PU_2mix-1_4n	yes	yes	yes	yes	yes	PUWS_4n	PU2	pink	EE_4n	Northern_Ural_4n	66.90819	65.6873	4	4	0,68	2	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_2mix-1_1.fq.gz	ERS18382949				
PU_2mix-2	PU_2mix-2_4n	yes	yes	yes	yes	yes	PUWS_4n	PU2	pink	EE_4n	Northern_Ural_4n	66.90819	65.6873	4	4	0,73	3	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_2mix-2_1.fq.gz	ERS18382950				
PU_3mix-1	PU_3mix-1_4n	yes	yes	yes	yes	yes	PUWS_4n	PU3	pink	EE_4n	Northern_Ural_4n	66.93358	65.6449	4	4	0,54	2	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_3mix-1_1.fq.gz	ERS18382951				
PU_3mix-2	PU_3mix-2_4n	yes	yes	yes	yes	yes	PUWS_4n	PU3	pink	EE_4n	Northern_Ural_4n	66.93358	65.6449	4	4	0,72	3	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_3mix-2_1.fq.gz	ERS18382952				
PU_4mix-1	PU_4mix-1_4n	yes	yes	yes	yes	yes	PUWS_4n	PU4	pink	EE_4n	Northern_Ural_4n	66.93139	65.59633	4	4	0,78	4	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_4mix-1_1.fq.gz	ERS18382953				
PU_4mix-2	PU_4mix-2_4n	yes	yes	yes	yes	yes	PUWS_4n	PU4	pink	EE_4n	Northern_Ural_4n	66.93139	65.59633	4	4	0,69	3	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_4mix-2_1.fq.gz	ERS18382954				
PU_5mix-1	PU_5mix-1_4n	yes	yes	yes	yes	yes	PUWS_4n	PU5	pink	EE_4n	Northern_Ural_4n	66.94763	65.52093	4	4	0,74	4	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_5mix-1_1.fq.gz	ERS18382955				
PU_5mix-2	PU_5mix-2_4n	yes	yes	yes	yes	yes	PUWS_4n	PU5	pink	EE_4n	Northern_Ural_4n	66.94763	65.52093	4	4	0,52	2	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_5mix-2_1.fq.gz	ERS18382956				
PU_6.1-1	PU_6.1-1_4n	yes	yes	no	no	yes	PUWS_4n	PU14	pink	EE_4n	Northern_Ural_4n	67.02145	65.13496	4	4	0,69	2	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_6.1-1_1.fq.gz	ERS18382957				
PU_6.1-2	PU_6.1-2_4n	yes	yes	yes	yes	yes	PUWS_4n	PU6	pink	EE_4n	Northern_Ural_4n	67.02145	65.13496	4	4	0,77	2	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_6.1-2_1.fq.gz	ERS18382958				
PU_6.2-1	PU_6.2-1_4n	yes	yes	no	no	yes	PUWS_4n	PU7	pink	EE_4n	Northern_Ural_4n	67.02145	65.13496	4	4	0,73	1	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_6.2-1_1.fq.gz	ERS18382959				
PU_6.2-2	PU_6.2-2_4n	yes	yes	no	no	yes	PUWS_4n	PU12	pink	EE_4n	Northern_Ural_4n	67.02145	65.13496	4	4	0,69	2	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_6.2-2_1.fq.gz	ERS18382960				
PU_6.3-1	PU_6.3-1_4n	yes	yes	no	no	yes	PUWS_4n	PU21	pink	EE_4n	Northern_Ural_4n	67.02145	65.13496	4	4	0,57	2	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_6.3-1_1.fq.gz	ERS18382961				
PU_6.3-2	PU_6.3-2_4n	yes	yes	no	no	yes	PUWS_4n	PU19	pink	EE_4n	Northern_Ural_4n	67.02145	65.13496	4	4	0,62	3	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_6.3-2_1.fq.gz	ERS18382962				
PU_6.4-1	PU_6.4-1_4n	yes	yes	no	no	yes	PUWS_4n	PU18	pink	EE_4n	Northern_Ural_4n	67.02145	65.13496	4	4	0,65	2	A. lyrata		seeds		Nikita Tikhomirov, Uliana Kolesnikova		PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_February2022/renamed/PU_6.4-1_1.fq.gz	ERS18382963				
